;;;Usos dels locals cadastrals;;;;;;;;;;;;;
Dte.;Barris;"TOTAL
LOCALS 
CADASTRALS";Habitatge;Aparcaments;Comerç;Indústria;Oficines;Ensenyament;Sanitat;Hostaleria;Esportiu;Religiós;Espectacles;"Altres 
Usos";;
1;1. el Raval;33.041;23.444;3.038;2.725;1.553;870;236;45;912;32;68;87;31;;
1;2. el Barri Gòtic;17.738;10.505;924;1.812;1.944;1.164;237;31;901;8;67;30;115;;
1;3. la Barceloneta;11.868;9.233;1.522;454;72;152;64;68;229;28;18;0;28;;
1;4. Sant Pere, Santa Caterina i la Ribera;20.454;14.655;2.029;1.352;972;790;141;15;303;4;49;28;116;;
2;5. el Fort Pienc;26.385;15.665;7.887;1.005;913;639;65;25;120;25;17;13;11;;
2;6. la Sagrada Família;44.871;27.528;12.209;2.803;1.254;748;53;91;122;23;10;8;22;;
2;7. la Dreta de l'Eixample;53.567;27.085;10.743;4.902;2.750;6.033;413;228;927;48;188;89;161;;
2;8. l'Antiga Esquerra de l'Eixample;42.589;24.411;9.890;3.286;1.867;1.902;240;140;561;35;45;48;164;;
2;9. la Nova Esquerra de l'Eixample;54.995;30.208;18.054;2.625;1.581;1.809;213;125;222;47;40;42;29;;
2;10. Sant Antoni;34.411;20.281;8.447;3.068;1.367;801;93;60;177;31;25;37;24;;
3;11. el Poble Sec - Parc Montjuïc;27.483;19.216;3.791;1.917;1.426;333;165;55;273;138;26;44;99;;
3;12. la Marina del Prat Vermell - Zona Franca;5.873;798;1.453;1.013;1.878;532;28;14;18;8;1;0;130;;
3;13. la Marina de Port;24.365;13.277;9.149;807;693;242;76;29;14;41;8;12;17;;
3;14. la Font de la Guatlla;8.649;5.065;2.896;320;214;66;31;19;28;6;4;0;0;;
3;15. Hostafrancs;15.510;8.206;4.622;1.471;690;226;113;13;127;22;16;4;0;;
3;16. la Bordeta;13.984;8.530;3.963;701;417;230;54;17;14;7;6;0;45;;
3;17. Sants - Badal;19.428;11.751;5.498;1.070;819;164;33;44;9;14;14;2;10;;
3;18. Sants;36.707;21.170;9.636;3.013;1.999;387;173;102;144;31;19;18;15;;
4;19. les Corts;50.023;23.087;19.802;2.995;1.888;1.670;146;85;202;61;30;19;38;;
4;20. la Maternitat i Sant Ramon;22.169;11.683;7.535;809;944;427;334;54;204;157;12;1;9;;
4;21. Pedralbes;13.054;6.064;5.233;232;290;307;441;41;106;176;41;5;118;;
5;22. Vallvidrera, el Tibidabo i les Planes;5.218;3.491;836;160;366;14;59;50;27;117;37;12;49;;
5;23. Sarrià;25.737;12.776;8.953;1.220;1.090;297;368;193;101;589;129;1;20;;
5;24. les Tres Torres;18.096;7.054;8.694;489;1.042;359;70;276;28;39;44;1;0;;
5;25. Sant Gervasi - la Bonanova;26.846;12.718;10.104;1.217;875;533;437;448;135;213;120;16;30;;
5;26. Sant Gervasi - Galvany;52.315;25.506;15.669;3.895;2.647;3.230;301;330;357;87;135;74;84;;
5;27. el Putxet i el Farró;31.400;16.393;11.126;1.401;1.368;626;183;117;79;50;41;13;3;;
6;28. Vallcarca i els Penitents;16.020;9.018;5.402;601;512;116;91;134;31;81;27;2;5;;
6;29. el Coll;6.486;3.949;1.900;273;237;63;28;6;12;13;5;0;0;;
6;30. la Salut;11.900;6.995;3.403;532;441;119;75;216;34;31;49;3;2;;
6;31. la Vila de Gràcia;47.821;31.476;8.219;3.770;2.504;960;252;118;255;47;133;78;9;;
6;32. el Camp d'en Grassot i Gràcia Nova;30.295;18.567;7.677;1.535;1.837;396;84;43;20;29;31;5;71;;
7;33. el Baix Guinardó;19.230;12.507;4.655;1.001;586;167;142;64;33;34;17;2;22;;
7;34. Can Baró;6.644;4.805;969;332;414;42;35;31;8;7;0;0;1;;
7;35. el Guinardó;30.113;18.774;7.417;1.760;1.427;221;174;201;60;41;17;18;3;;
7;36. la Font d'en Fargues;8.808;5.297;2.553;194;463;43;142;32;11;53;14;4;2;;
7;37. el Carmel;23.465;15.494;4.969;1.423;1.252;108;109;37;19;22;23;7;2;;
7;38. la Teixonera;10.061;5.899;2.995;631;453;36;21;9;8;3;6;0;0;;
7;39. Sant Genís dels Agudells;4.690;3.560;687;176;124;15;49;30;5;14;20;10;0;;
7;40. Montbau;3.676;2.577;152;159;497;22;99;104;15;15;27;0;9;;
7;41. la Vall d'Hebron;4.837;3.968;367;80;274;2;21;12;29;31;49;0;4;;
7;42. la Clota;701;430;166;38;57;0;4;3;0;0;3;0;0;;
7;43. Horta;22.254;13.627;5.725;1.372;970;100;143;106;44;63;82;14;8;;
8;44. Vilapicina i la Torre Llobeta;20.051;12.227;5.424;1.239;736;144;161;32;33;19;17;5;14;;
8;45. Porta;18.744;11.518;5.334;1.001;559;147;86;4;36;18;15;10;16;;
8;46. el Turó de la Peira;9.464;6.969;1.215;793;360;27;59;11;6;9;14;0;1;;
8;47. Can Peguera;1.446;1.051;314;40;18;0;21;0;0;0;2;0;0;;
8;48. la Guineueta;10.790;6.801;3.156;352;221;80;95;27;18;27;2;0;11;;
8;49. Canyelles;3.601;2.921;327;210;73;35;16;4;2;11;1;0;1;;
8;50. les Roquetes;9.885;7.050;1.414;646;645;23;60;6;21;18;2;0;0;;
8;51. Verdun;8.498;5.985;1.606;615;187;28;63;0;2;4;7;0;1;;
8;52. la Prosperitat;18.997;12.679;4.384;985;753;54;74;18;12;20;8;8;2;;
8;53. la Trinitat Nova;4.472;3.561;585;213;68;0;26;9;0;5;4;0;1;;
8;54. Torre Baró;2.780;1.774;658;121;186;0;21;3;4;8;1;0;4;;
8;55. Ciutat Meridiana;4.603;3.957;126;287;154;24;31;7;6;3;8;0;0;;
8;56. Vallbona;1.518;850;405;105;108;0;6;3;5;7;1;0;28;;
9;57. la Trinitat Vella;6.542;4.338;1.379;393;309;30;31;8;9;12;10;0;23;;
9;58. Baró de Viver;1.810;1.112;459;101;104;2;27;0;0;0;2;0;3;;
9;59. el Bon Pastor;10.865;5.358;2.386;763;1.904;366;30;19;14;10;6;0;9;;
9;60. Sant Andreu;48.745;28.976;13.981;2.832;2.236;256;184;82;64;57;44;14;19;;
9;61. la Sagrera;23.699;13.483;7.303;1.358;935;352;146;57;20;28;9;0;8;;
9;62. el Congrés i els Indians;10.539;7.011;2.024;774;449;69;115;35;29;8;19;0;6;;
9;63. Navas;16.620;10.270;4.709;868;484;149;57;13;36;6;6;16;6;;
10;64. el Camp de l'Arpa del Clot;30.599;20.029;7.345;1.312;1.247;235;86;24;264;15;15;8;19;;
10;65. el Clot;20.777;12.436;6.158;1.323;578;135;63;22;23;20;3;6;10;;
10;66. el Parc i la Llacuna del Poblenou;17.191;7.278;5.775;1.146;2.132;648;27;36;109;19;4;5;12;;
10;67. la Vila Olímpica del Poblenou;12.492;4.654;6.423;389;777;145;26;14;34;13;4;0;13;;
10;68. el Poblenou;30.629;16.695;10.178;1.689;1.323;469;68;48;114;18;18;3;6;;
10;69. Diagonal Mar i el Front Marítim del Poblenou;15.874;6.380;8.440;471;163;231;13;8;129;15;8;10;6;;
10;70. el Besòs i el Maresme;12.430;9.693;1.190;700;477;193;67;17;42;23;11;3;14;;
10;71. Provençals del Poblenou;16.874;9.179;5.487;505;1.383;240;32;10;21;5;4;0;8;;
10;72. Sant Martí de Provençals;17.509;11.718;3.407;991;1.005;119;141;35;32;43;16;0;2;;
10;73. la Verneda i la Pau;18.711;13.059;2.860;1.162;1.377;133;80;6;4;15;10;0;5;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
