IDEQUIPAMENT,ALIES,NOM,CATEGORIA,TIPUS_VIA,VIA,SUFIX_VIA,NUM,CPOSTAL,POBLACIO,COMARCA,TELEFON1,TELEFON2,FAX,UTMX,UTMY,LONGITUD,LATITUD,EMAIL,WEB,DATA_MODIFICACIO,PROPIETATS,LOCALITZACIO
24709,Alberg Montsec Mur,Alberg Montsec Mur,Turisme|Albergs de joventut||,," Carretera de Sant Esteve de la Sarga (LV-9124), s/n - Guàrdia de Tremp -",,,25632,Castell de Mur,Pallars Jussà,,,,324346.3284407968,4661971.581400505,0.876062,42.090201,scv@peretarres.org,http://www.xanascat.cat/showhostel.tjc?id=237&index=30,02/08/2018 06:16:53 AM +0000,,
1146260,Alberg Cal Pons,Alberg Cal Pons,Turisme|Albergs de joventut||,," Plaça de Sant Josep, s/n",,,08692,Puig-reig,Berguedà,,,,407684.792,4646611.873,1.885918043,41.966093882,,https://www.xanascat.cat/showhostel.tjc?id=237&index=49,02/08/2018 06:16:53 AM +0000,,
511398,Alberg la Sala,Alberg la Sala,Turisme|Albergs de joventut||,," Carretera B-402 de Guardiola de Berguedà a La Pobla de Lillet, km. 6 La Sala",,,08696,"Pobla de Lillet, la",Berguedà,,,,412446.580321168,4677165.9364961395,1.938851,42.241777,,http://www.xanascat.cat/showhostel.tjc?id=237&index=43,02/08/2018 06:16:52 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
511349,Alberg Twentytú Hostel,Alberg Twentytú Hostel,Turisme|Albergs de joventut||,," Carrer de Pamplona, 114-116",,,08018,Barcelona,Barcelonès,,,,432167.2811402216,4583359.687425318,2.188533766,41.398915656,,http://www.xanascat.cat/showhostel.tjc?id=237&index=47,02/08/2018 06:16:52 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
511342,Alberg Pere el Gran,Alberg Pere el Gran,Turisme|Albergs de joventut||,," Carrer la Font del Camp, 4 (Santes Creus)",,,43815,Aiguamúrcia,Alt Camp,,,,363046.7064114262,4578936.3120206855,1.362906724,41.350282898,,http://www.xanascat.cat/showhostel.tjc?id=237&index=41,02/08/2018 06:16:52 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
511339,Alberg Món Natura Pirineus,Alberg Món Natura Pirineus,Turisme|Albergs de joventut||,," Carrer Únic, s/n (Les Planes de Son)",,,25589,Alt Àneu,Pallars Sobirà,,,,342607.5575396179,4720196.97611732,1.080936279,42.618186823,,http://www.xanascat.cat/showhostel.tjc?id=237&index=46,02/08/2018 06:16:53 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
511244,Alberg Equity Point Centric,Alberg Equity Point Centric,Turisme|Albergs de joventut||,," Passeig de Gràcia, 33",,,08007,Barcelona,Barcelonès,,,,430269.8475822816,4582487.714470196,2.165937915,41.390899783,,http://www.xanascat.cat/showhostel.tjc?id=237&index=44,02/08/2018 06:16:53 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
511243,Alberg Costa Brava,Alberg Costa Brava,Turisme|Albergs de joventut||,," Carrer de Setcases, 9",,,17490,Llançà,Alt Empordà,,,,512352.4006163737,4690529.807178801,3.15001678,42.366944053,,http://www.xanascat.cat/showhostel.tjc?id=237&index=42,02/08/2018 06:16:53 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
511237,Alberg Barcelona Urbany Hostel,Alberg Barcelona Urbany Hostel,Turisme|Albergs de joventut||,," Avinguda Meridiana, 97",,,08026,Barcelona,Barcelonès,,,,432009.5366582108,4584250.962004063,2.186546781,41.406929773,,https://www.xanascat.cat/showhostel.tjc?id=237&index=45,02/08/2018 06:16:53 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24799,Alberg-Residència Vila-Nova,Alberg-Residència Vila-Nova,Turisme|Albergs de joventut||,," Rambla de l'Exposició, 41",,,08800,Vilanova i la Geltrú,Garraf,93 811 59 00,,93 811 59 38,393608.3930139248,4564204.067292131,1.73070324,41.222232098,residencia@grupqualitat.com,http://www.xanascat.cat/showhostelcont.tjc?id=237&index=33,02/08/2018 06:16:51 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24798,Alberg-Residència Sant Jordi,Alberg-Residència Sant Jordi,Turisme|Albergs de joventut||,," Rambla del President Lluís Companys, 5",,,43005,Tarragona,Tarragonès,977 24 01 95,,977 24 31 34,352504.311980709,4553620.318760691,1.243052966,41.120490971,,http://www.xanascat.cat/showhostel.tjc?id=237&index=27,02/08/2018 06:16:51 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut. Únicament es fan reserves a l'estiu.,
24797,Alberg-Residència Sant Anastasi,Alberg-Residència Sant Anastasi,Turisme|Albergs de joventut||,," Rambla d'Aragó, 11",,,25003,Lleida,Segrià,973 26 60 99,,973 26 18 65,301636.8191886167,4609511.363373569,0.619451984,41.612681074,alberg.lleida@gencat.cat,http://www.xanascat.cat/showhostel.tjc?id=237&index=12,02/08/2018 06:16:51 AM +0000,"Horari|Recepció: Durant el curs escolar oberta les 24 hores. Durant el juliol de 8.00 h a 1.00 h. 
|Observacions| És un alberg que gestiona directament l'Agència Catalana de la Joventut.",
24795,Alberg-Residència Cerverí de Girona,Alberg-Residència Cerverí de Girona,Turisme|Albergs de joventut||,," Carrer dels Ciutadans, 9",,,17004,Girona,Gironès,972 21 80 03,,972 21 20 23,485516.2732462626,4647991.160845313,2.825157388,41.983789354,alberg.girona@gencat.cat,http://www.xanascat.cat/showhostel.tjc?id=237&index=7,02/08/2018 06:16:52 AM +0000,Horari|De 8'30 a 23h (hivern). De 7'30 a 23h (estiu).|Observacions|És un alberg que gestiona directament l'Agència Catalana de la Joventut.,
24731,Alberg-Residència Canonge Collell,Alberg-Residència Canonge Collell,Turisme|Albergs de joventut||,," Avinguda d'Olímpia, s/n",,,08500,Vic,Osona,93 889 49 38,,93 883 30 62,436967.2144929373,4642655.872940117,2.239676774,41.933344669,alberg.vic@gencat.cat,http://www.xanascat.cat/showhostel.tjc?id=237&index=18,02/08/2018 06:16:52 AM +0000,Horari|De 8 a 13.30h i de 14.30 a 23h.|Observacions|És un alberg que gestiona directament l'Agència Catalana de la Joventut.,
24730,Alberg la Valira,Alberg la Valira,Turisme|Albergs de joventut||,," Carrer Joaquim Viola Lafuerza, 57",,,25700,"Seu d'Urgell, la",Alt Urgell,973 35 38 97,,973 35 38 74,372576.9715152952,4690742.055056217,1.452668588,42.358516646,alberg.laseu@gencat.cat,http://www.xanascat.cat/showhostel.tjc?id=237&index=9,02/08/2018 06:16:52 AM +0000,Horari|De 9 a 13h i de 16 a 22h.|Observacions|És un alberg que gestiona directament l'Agència Catalana de la Joventut.,
24728,Alberg la Conreria,Alberg la Conreria,Turisme|Albergs de joventut||,," Carretera B-500 de Badalona-Mollet, km. 6 - La Conreria (antic seminari)",,,08391,Tiana,Maresme,,,,437575.9854947972,4593635.616318757,2.252135,41.491987,conreria@peretarres.org,http://www.xanascat.cat/showhostel.tjc?id=237&index=29,02/08/2018 06:16:52 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24726,Alberg del Pallars,Alberg del Pallars,Turisme|Albergs de joventut||,," Carrer Sant Jaume, 28",,,25620,Tremp,Pallars Jussà,973 65 25 63,,973 65 25 18,326471.4457499503,4670671.96676545,0.899144831,42.169053596,alberg.tremp@gencat.cat,http://www.xanascat.cat/showhostel.tjc?id=237&index=19,02/08/2018 06:16:52 AM +0000,Observacions|És un alberg que gestiona directament l'Agència Catalana de la Joventut.,
24725,Alberg del Carme,Alberg del Carme,Turisme|Albergs de joventut||,," Plaça del Mil Centenari de Manresa, s/n",,,08240,Manresa,Bages,93 875 03 96,,93 872 68 38,402366.1298515203,4619855.924126767,1.826117,41.724664,alberg.manresa@gencat.cat,http://www.xanascat.cat/showhostel.tjc?id=237&index=13,02/08/2018 06:16:52 AM +0000,Horari|De 8 a 23h.|Observacions|És un alberg que gestiona directament l'Agència Catalana de la Joventut.,
24724,Alberg de Berga,Alberg de Berga,Turisme|Albergs de joventut||,," Passeig de la Vila de Casserres, 5",,,08600,Berga,Berguedà,93 821 40 89,,93 821 40 98,405534.4384311858,4661854.8372033965,1.857534752,42.10317415,info@albergdeberga.cat,http://www.albergdeberga.cat,02/08/2018 06:16:52 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24723,Alberg de Banyoles,Alberg de Banyoles,Turisme|Albergs de joventut||,," Carrer del Migdia, 10",,,17820,Banyoles,Pla de l'Estany,972 57 54 54,,972 57 54 54,480683.0255021255,4662851.024556784,2.76632245,42.117521228,albergbanyoles@teleline.es,http://www.xanascat.cat/showhostel.tjc?id=237&index=21,02/08/2018 06:16:52 AM +0000,Horari|De 8 a 22h.|Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24722,Alberg d'Empúries,Alberg d'Empúries,Turisme|Albergs de joventut||,," Carrer de Puig i Cadafalch, 36",,,17130,"Escala, l'",Alt Empordà,972 77 12 00,,972 77 15 72,510027.3535674827,4663980.397657228,3.121344564,42.127786544,alberg.empuries@gencat.cat,http://www.xanascat.cat/showhostel.tjc?id=237&index=10,02/08/2018 06:16:52 AM +0000,Horari|De 9 a 14h i de 16 a 20h.|Observacions|És un alberg que gestiona directament l'Agència Catalana de la Joventut.,
24721,Alberg Viladoms de Baix,Alberg Viladoms de Baix,Turisme|Albergs de joventut||,, Carretera de la Bauma a Vacarisses km. 5'150,,,08296,Castellbell i el Vilar,Bages,93 828 22 36,,93 780 52 99,407272.0456939351,4607761.868152107,1.88702,41.6163,fundacio@torredelpalau.org,http://www.xanascat.cat/showhostel.tjc?id=237&index=23,02/08/2018 06:16:52 AM +0000,Horari|De 10 a 13h i de 17 a 20h.|Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24719,Alberg Torre Malagrida,Alberg Torre Malagrida,Turisme|Albergs de joventut||,," Passeig de Barcelona, 15",,,17800,Olot,Garrotxa,972 26 42 00,,972 27 18 96,457323.2095381968,4669606.034272914,2.483234855,42.177457523,alberg.olot@gencat.cat,http://www.xanascat.cat/showhostel.tjc?id=237&index=15,02/08/2018 06:16:52 AM +0000,Horari|De 8 a 23 hores.|Observacions|És un alberg que gestiona directament l'Agència Catalana de la Joventut.,
24718,Alberg Torre Ametller,Alberg Torre Ametller,Turisme|Albergs de joventut||,," Veïnat de Santa Elena d'Agell, s/n",,,08349,Cabrera de Mar,Maresme,93 759 44 48,,93 750 04 95,450256.0407390659,4598325.527379993,2.40349,41.535105,alberg.cabrera@gencat.cat,http://www.xanascat.cat/showhostel.tjc?id=237&index=2,02/08/2018 06:16:52 AM +0000,Horari|De 9 a 12h i de 16 a 22 h.|Observacions|És un alberg que gestiona directament l'Agència Catalana de la Joventut.,
