IDEQUIPAMENT,ALIES,NOM,CATEGORIA,TIPUS_VIA,VIA,SUFIX_VIA,NUM,CPOSTAL,POBLACIO,COMARCA,TELEFON1,TELEFON2,FAX,UTMX,UTMY,LONGITUD,LATITUD,EMAIL,WEB,DATA_MODIFICACIO,PROPIETATS,LOCALITZACIO
2023549,CAP Adrià - Equip Marc Aureli,CAP Adrià - Equip Marc Aureli,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR VALLMAJOR, 34",,,08021,Barcelona,Barcelonès,933621125,,93 414 43 24,428003.994,4583612.384,2.138704573,41.400829598,,,10/31/2017 08:09:17 AM +0000,"Horari|de dl. a dv. de 8 a 20 h. (ds. de 9 a 17 h al CAP Numància), Fora d'aquest horari telèfon 061 CatSalut Respon o a l'Hospital Plató. Urgències pediàtriques de 8 a 22 h al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg.",
2023550,CAP Adrià - Equip Sant Elies,CAP Adrià - Equip Sant Elies,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR VALLMAJOR, 34",,,08021,Barcelona,Barcelonès,933621125,,93 414 43 24,428003.994,4583612.384,2.138704573,41.400829598,,,10/31/2017 08:09:16 AM +0000,"Horari|de dl. a dv. de 8 a 20 h. (ds. de 9 a 17 h al CAP Numància), Fora d'aquest horari telèfon 061 CatSalut Respon o a l'Hospital Plató. Urgències pediàtriques de 8 a 22 h al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg.",
2023551,CAP Barceloneta,CAP Barceloneta,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," PS MARÍTIM DE LA BARCELONETA, 25-29",,,08003,Barcelona,Barcelonès,932213783,,93 221 28 38,432578.885,4581436.635,2.193671266,41.381629855,info@capbarceloneta.net,http://www.pamem.cat,10/31/2017 08:09:16 AM +0000,Horari|de dl. a dv. de 8 a 21 h i ds. de 9 a 17 h. Fora d'aquest horari telèfon 061 CatSalut Respon o al Centre Peracamps (CUAP).,
2023552,CAP Besòs,CAP Besòs,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR ALFONS EL MAGNÀNIM, 57",,,08019,Barcelona,Barcelonès,932788235,,93 278 25 85,434453.868,4585191.469,2.21568675,41.41560371,msanchezamat@gencat.cat,,10/31/2017 08:09:16 AM +0000,Horari|de dl. a dv. de 8 a 20 h i ds. de 9 a 17 h. Fora d'aquest horari telèfon 061 CatSalut Respon o al CUAP Sant Martí,
2023553,CAP Bon Pastor,CAP Bon Pastor,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR MOLLERUSSA, S/N",,,08030,Barcelona,Barcelonès,933458791,,93 345 66 97,433615.78,4587759.249,2.205377313,41.438662142,,,10/31/2017 08:09:16 AM +0000,"Horari|de dl. a dv. de 8 a 20 h. Fora d'aquest horari telèfon 061 CatSalut Respon  CUAP Horta, CUAP Cotxeres  o CUAP Casernes de Sant Andreu",
2023554,CAP Bordeta-Magòria,CAP Bordeta-Magòria,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR CORRAL, 41",,,08014,Barcelona,Barcelonès,934316570,,93 421 92 20,427935.866,4579876.668,2.138333952,41.367177338,campmagoria.bcn.ics@gencat.cat,,10/31/2017 08:09:16 AM +0000,Horari|de dl. a dv. de 8 a 20 h. ds. de 9 a 17 h al CAP Numància. Fora d'aquest horari telèfon 061 CatSalut Respon o al CUAP Manso. Urgències pediàtriques al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg.,
2023555,CAP Carles I,CAP Carles I,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR MARINA, 168",,,08013,Barcelona,Barcelonès,932317705,,93 246 38 16,431618.422,4583320.404,2.181972975,41.398515353,,,10/31/2017 08:09:16 AM +0000,Horari|de dl. a dv. de 8 a 20 h. ds. de 9 a 17 h al CAP Casc Antic. Fora d'aquest horari telèfon 061 CatSalut Respon o a l'Hospital Dos de Maig (CUAP). Horari d'estiu: Tancat Annex 24 juliola al 11 setembre,
2023556,CAP La Sagrera,CAP La Sagrera,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR GARCILASO, 1-9",,,08027,Barcelona,Barcelonès,933406398,,93 351 73 84,432342.186,4585971.46,2.190333874,41.422453828,,,10/31/2017 08:09:16 AM +0000,"Horari|de dl. a dv. de 8 a 20 h.(ds. de 9 a 17 h al CAP Maragall)  Fora d'aquest horari telèfon 061 CatSalut Respon ,  Hospital  Dos de Maig (CUAP)",
2023557,CAP Larrard - Equip La Salut,CAP Larrard - Equip La Salut,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," TS DE DALT, 79",,,08024,Barcelona,Barcelonès,932857600,,93 285 50 61,429481.586,4584654.775,2.156257844,41.410348974,info@caplarrard.net,http://www.pamem.cat,10/31/2017 08:09:16 AM +0000,"Horari|de dl. a dv. de 8 a 21 h. Fora d'aquest horari telèfon 061 CatSalut Respon o ds., dg. i festius de 8 a 20 h a l'Hospital de l'Esperança o a l'Hospital  Dos de Maig (CUAP)",
2023558,CAP Larrard - Equip Lesseps,CAP Larrard - Equip Lesseps,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," TS DE DALT, 79",,,08024,Barcelona,Barcelonès,932857600,,93 285 50 61,429481.586,4584654.775,2.156257844,41.410348974,info@caplarrard.net,http://www.pamem.cat,10/31/2017 08:09:16 AM +0000,"Horari|de dl. a dv. de 8 a 21 h. Fora d'aquest horari telèfon 061 CatSalut Respon o ds., dg. i festius de 8 a 20 h a l'Hospital de l'Esperança o a l'Hospital  Dos de Maig (CUAP)",
2023559,CAP Les Corts,CAP Les Corts,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR MEJIA LEQUERICA, 1",,,08029,Barcelona,Barcelonès,932275590,,93 227 55 97,426852.241,4581689.581,2.1251598,41.383407784,caplescorts@clinic.ub.es,http://www.caplescorts.cat/,10/31/2017 08:09:16 AM +0000,"Horari|de dl. a dv. de 8 a 20 h i ds. de 9 a 14 h (ATDOM fins les 17 h). Fora d'aquest horari. l 061 CatSalut Respon o adreceu-vos a l'Hospital Universitari Sagrat Cor, Hospital Plató o al CUAP Manso. Urgències pediàtriques de 8 a 22 h de dl. a dg. al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE).|Telèfon cita prèvia|93 227 55 90",
