IDEQUIPAMENT,ALIES,NOM,CATEGORIA,TIPUS_VIA,VIA,SUFIX_VIA,NUM,CPOSTAL,POBLACIO,COMARCA,TELEFON1,TELEFON2,FAX,UTMX,UTMY,LONGITUD,LATITUD,EMAIL,WEB,DATA_MODIFICACIO,PROPIETATS,LOCALITZACIO
2023662,Fundació Puigvert/Iuna,Fundació Puigvert/Iuna,Salut|Centres sanitaris|3. Hospitals|,," CR CARTAGENA, 340",,,08025,Barcelona,Barcelonès,934169700,,93 416 97 30,430864.517,4584848.427,2.172780606,41.412213273,,http://www.fundacio-puigvert.es/,10/31/2017 08:09:11 AM +0000,Horari|Urgències i emergències 24 hores.,
2023670,Hospital Clínic de Barcelona,Hospital Clínic de Barcelona,Salut|Centres sanitaris|3. Hospitals|,," CR VILLAROEL, 170",,,08036,Barcelona,Barcelonès,932275400,,93 227 54 54,429083.154,4582301.289,2.151766844,41.389116959,mdesemir@clinic.ub.es,http://www.hospitalclinic.org,10/31/2017 08:09:10 AM +0000,Horari|Urgències i emergències 24 hores.,
2023671,"Hospital Clínic de Barcelona, seu Sabino de Arana","Hospital Clínic de Barcelona, seu Sabino de Arana",Salut|Centres sanitaris|3. Hospitals|,," CR SABINO DE ARANA, 1",,,08028,Barcelona,Barcelonès,932275600,,93 227 56 05,426981.01,4581914.469,2.126672582,41.38544495,,http://www.hospitalclinic.org,10/31/2017 08:09:10 AM +0000,"Horari|Urgències i emergències 24 hores d'obstetríca, ginecologia i oftalmologia.",
2023698,Hospital de la Santa Creu i Sant Pau,Hospital de la Santa Creu i Sant Pau,Salut|Centres sanitaris|3. Hospitals|,," CR SANT QUINTÍ, 89",,,08041,Barcelona,Barcelonès,935537160,,93 291 94 27,431147.156,4585170.12,2.176125489,41.415134915,santpau@santpau.cat,http://www.santpau.es/,10/31/2017 08:09:09 AM +0000,Horari|Urgències i emergències 24 hores.,
2023700,Hospital de l'Esperança,Hospital de l'Esperança,Salut|Centres sanitaris|3. Hospitals|,," CR SANT JOSEP DE LA MUNTANYA, 12",,,08024,Barcelona,Barcelonès,933674100,,93 367 42 66,429323.634,4584723.979,2.154360087,41.410958394,,http://www.parcdesalutmar.cat/hospitals/hospital-esperan/,10/31/2017 08:09:09 AM +0000,"Horari|Urgències i emergències 24 hores al CUAP Gràcia, en el mateix centre.",
2023702,Hospital del Mar,Hospital del Mar,Salut|Centres sanitaris|3. Hospitals|,," PS MARÍTIM DE LA BARCELONETA, 25-29",,,08003,Barcelona,Barcelonès,932483000,,93 248 32 54,432578.885,4581436.635,2.193671266,41.381629855,,http://www.parcdesalutmar.cat/hospitals/hospital-del-mar/,10/31/2017 08:09:09 AM +0000,Horari|Urgències i emergències 24 hores.,
2023703,Hospital Dos de Maig,Hospital Dos de Maig,Salut|Centres sanitaris|3. Hospitals|,," CR DOS DE MAIG, 301",,,08025,Barcelona,Barcelonès,935072700,,93 507 27 28,431219.206,4584676.445,2.177043657,41.410694722,anna.lopez@sanitatintegral.org,http://www.csi.cat/ciutadans/centres/hospital-dos-maig/es_index.html,10/31/2017 08:09:09 AM +0000,"Horari|Urgències i emergències 24 hores al CUAP Dos de Maig, en el mateix centre.",
2023708,Hospital Plató,Hospital Plató,Salut|Centres sanitaris|3. Hospitals|,," CR PLATÓ, 21",,,08006,Barcelona,Barcelonès,933069900,,93 414 01 33,428326.27,4583617.005,2.142559031,41.400900011,pere.companyo@clinicaplato.com,http://www.hospitalplato.com/,10/31/2017 08:09:09 AM +0000,"Horari|Urgències i emergències 24 hores a l'Hospital-CUAP Plató, en el mateix centre.",
2023711,Hospital Universitari de Traumatologia i Rehabilitació de la Vall d'Hebron,Hospital Universitari de Traumatologia i Rehabilitació de la Vall d'Hebron,Salut|Centres sanitaris|3. Hospitals|,," PS VALL D'HEBRON, 119-129",,,08035,Barcelona,Barcelonès,934893000,,93 483 35 66,428297.924,4586615.35,2.141864597,41.42790231,felgonza@vhebron.net,http://www.vhebron.net,10/31/2017 08:09:09 AM +0000,Horari|Urgències i emergències 24 hores.,
2023712,Hospital Universitari General de la Vall d'Hebron,Hospital Universitari General de la Vall d'Hebron,Salut|Centres sanitaris|3. Hospitals|,," PS VALL D'HEBRON, 119-129",,,08035,Barcelona,Barcelonès,934893000,,93 274 60 58,428297.924,4586615.35,2.141864597,41.42790231,felgonza@vhebron.net,http://www.vhebron.net,10/31/2017 08:09:09 AM +0000,Horari|Urgències i emergències 24 hores.,
2023713,Hospital Universitari Maternoinfantil de la Vall d'Hebron,Hospital Universitari Maternoinfantil de la Vall d'Hebron,Salut|Centres sanitaris|3. Hospitals|,," PS VALL D'HEBRON, 119-129",,,08035,Barcelona,Barcelonès,934893000,,93 489 30 39,428297.924,4586615.35,2.141864597,41.42790231,felgonza@vhebron.net,http://www.vhebron.net,10/31/2017 08:09:09 AM +0000,Horari|Urgències i emergències 24 hores.,
2023714,Hospital Universitari Sagrat Cor,Hospital Universitari Sagrat Cor,Salut|Centres sanitaris|3. Hospitals|,," CR VILADOMAT, 288",,,08029,Barcelona,Barcelonès,933221111,,93 494 89 69,428552.738,4582267.613,2.145427209,41.388766713,,http://www.hscor.com,10/31/2017 08:09:09 AM +0000,"Horari|Urgències i emergències 24 hores al CUAP Sagart Cor, en el mateix centre.",
2023709,Hospital Sant Rafael,Hospital Sant Rafael,Salut|Centres sanitaris|3. Hospitals|,," PS VALL D'HEBRON, 107-117",,,08035,Barcelona,Barcelonès,932112508,,93 418 84 48,428353.385,4586323.271,2.142562897,41.42527663,moneca@hsrafael.com,http://www.hsrafael.com/,10/31/2017 08:09:09 AM +0000,,
