Any,Ambit,Titularitat,TipusEquipament,Equipament,Districte,Seu,Latitud,Longitud,TitolExposicio,Visites,DataInici,DataFi,TipusProduccio
2016,"Història i memòria",Municipal,Arxius,"Arxiu Fotogràfic de Barcelona","01. Ciutat Vella","Arxiu Fotogràfic de Barcelona",41.386872640,2.181806284,"Pérez de Rozas. Crònica gràfica de Barcelona 1931-1954",8647,12/11/2015,21/05/2016,Pròpia
2016,"Història i memòria",Municipal,Arxius,"Arxiu Fotogràfic de Barcelona","01. Ciutat Vella","Arxiu Fotogràfic de Barcelona",41.386872640,2.181806284,"De mur a mur",3287,16/06/2016,25/09/2016,Coproducció
2016,"Història i memòria",Municipal,Arxius,"Arxiu Fotogràfic de Barcelona","01. Ciutat Vella","Arxiu Fotogràfic de Barcelona",41.386872640,2.181806284,"Huellas. Humberto Rivas",2271,20/10/2016,08/04/2017,Pròpia
2016,"Història i memòria",Municipal,Arxius,"Arxiu Històric de la Ciutat de Barcelona","01. Ciutat Vella","Arxiu Històric de la Ciutat de Barcelona",41.384253792,2.175866873,"Les arts de la seda a Barcelona. 500 anys de corporacions sederes a la ciutat ",10340,05/11/2015,30/04/2016,Pròpia
2016,"Història i memòria",Municipal,Arxius,"Arxiu Històric de la Ciutat de Barcelona","01. Ciutat Vella","Arxiu Històric de la Ciutat de Barcelona",41.384253792,2.175866873,"Les veus de les dones: guerra civil, franquisme i transició ",28808,05/05/2016,31/10/2016,Pròpia
2016,"Història i memòria",Municipal,Arxius,"Arxiu Històric de la Ciutat de Barcelona","01. Ciutat Vella","Arxiu Històric de la Ciutat de Barcelona",41.384253792,2.175866873,"Diario de Barcelona. Una empresa periodística (1792-2009)",7052,10/11/2016,31/03/2017,Pròpia
2016,"Arts visuals",Privada,"Centres d'exposicions",CaixaForum,"03. Sants-Montjuïc",CaixaForum,41.371294526,2.149575441,"Animals i faraons. El regne animal a l'antic Egipte",9970,23/09/2015,10/01/2016,Pròpia
2016,"Arts visuals",Privada,"Centres d'exposicions",CaixaForum,"03. Sants-Montjuïc",CaixaForum,41.371294526,2.149575441,"My world. Reptes per un món millor",2916,22/10/2015,10/01/2016,Pròpia
2016,"Arts visuals",Privada,"Centres d'exposicions",CaixaForum,"03. Sants-Montjuïc",CaixaForum,41.371294526,2.149575441,"Parlo, sabent que no es tracta d'això. COMISART",16716,30/10/2015,07/02/2016,Pròpia
2016,"Arts visuals",Privada,"Centres d'exposicions",CaixaForum,"03. Sants-Montjuïc",CaixaForum,41.371294526,2.149575441,"Dibuixar Versalles. Charles Le Brun (1619 - 1690)",38362,18/11/2015,14/02/2016,Pròpia
2016,"Arts visuals",Privada,"Centres d'exposicions",CaixaForum,"03. Sants-Montjuïc",CaixaForum,41.371294526,2.149575441,"El pes d'un gest. La mirada de Julião Sarmento",57047,11/02/2016,01/05/2016,Pròpia
2016,"Arts visuals",Privada,"Centres d'exposicions",CaixaForum,"03. Sants-Montjuïc",CaixaForum,41.371294526,2.149575441,"Gestos iconoclastes, imatges heterodoxes",66230,04/03/2016,05/06/2016,Pròpia
2016,"Arts visuals",Privada,"Centres d'exposicions",CaixaForum,"03. Sants-Montjuïc",CaixaForum,41.371294526,2.149575441,"Impressionistes i moderns.",200224,11/03/2016,19/06/2016,Pròpia
2016,"Arts visuals",Privada,"Centres d'exposicions",CaixaForum,"03. Sants-Montjuïc",CaixaForum,41.371294526,2.149575441,"Ming. L'imperi daurat",88129,14/06/2016,02/10/2016,Pròpia
2016,"Arts visuals",Privada,"Centres d'exposicions",CaixaForum,"03. Sants-Montjuïc",CaixaForum,41.371294526,2.149575441,Alt-architecture.COMISART,34270,28/06/2016,02/10/2016,Pròpia
2016,"Arts visuals",Privada,"Centres d'exposicions",CaixaForum,"03. Sants-Montjuïc",CaixaForum,41.371294526,2.149575441,"Phillippe Halsman. Sorprèn-me!",106955,15/07/2016,06/11/2016,Pròpia
2016,"Arts visuals",Privada,"Centres d'exposicions",CaixaForum,"03. Sants-Montjuïc",CaixaForum,41.371294526,2.149575441,"Terra de somnis",52933,29/09/2016,08/01/2017,Pròpia
2016,"Arts visuals",Privada,"Centres d'exposicions",CaixaForum,"03. Sants-Montjuïc",CaixaForum,41.371294526,2.149575441,"Bàlsam i Fuga. La creació artística a la institució penitenciària",45054,26/10/2016,15/01/2017,Pròpia
2016,"Arts visuals",Privada,"Centres d'exposicions",CaixaForum,"03. Sants-Montjuïc",CaixaForum,41.371294526,2.149575441,"Un Thyssen mai vist",86966,05/11/2016,05/02/2017,Pròpia
2016,"Arts visuals",Privada,"Centres d'exposicions",CaixaForum,"03. Sants-Montjuïc",CaixaForum,41.371294526,2.149575441,"Nadal en RE. Reduïm, Reutilitzem, Recelebrem. Projecte Instal·lació Basurama",78948,02/12/2016,08/01/2017,Pròpia
2016,"Arts visuals",Privada,"Centres d'exposicions",CaixaForum,"03. Sants-Montjuïc",CaixaForum,41.371294526,2.149575441,"Art i cinema, 120 anys d'intercanvis",13071,16/12/2016,26/03/2017,Pròpia
2016,"Història i memòria",Municipal,"Museus i col·leccions","Castell de Montjuïc","03. Sants-Montjuïc","Castell de Montjuïc",41.3675648,2.1685315,"Mirar la ciutat. Paisatges de Barcelona",,05/11/2015,28/02/2016,Pròpia
2016,"Història i memòria",Municipal,"Museus i col·leccions","Castell de Montjuïc","03. Sants-Montjuïc","Castell de Montjuïc",41.3675648,2.1685315,"Forestier a Montjuïc. El jardí com a obra d'art ",,31/03/2016,02/10/2016,Pròpia
