IDEQUIPAMENT,ALIES,NOM,CATEGORIA,TIPUS_VIA,VIA,SUFIX_VIA,NUM,CPOSTAL,POBLACIO,COMARCA,TELEFON1,TELEFON2,FAX,UTMX,UTMY,LONGITUD,LATITUD,EMAIL,WEB,DATA_MODIFICACIO,PROPIETATS,LOCALITZACIO
28408,Fundació Fran Daurel,Fundació Fran Daurel,Cultura|Museus|Art|,," Av. de Francesc Ferrer i Guàrdia, 13. Poble Espanyol. Parc de Montjuïc",,,08038,Barcelona,Barcelonès,93 423 41 72,,93 423 05 72,428639,4580086,2.146715745052929,41.369125359634204,adelin@fundaciofrandaurel.com,http://www.fundaciofrandaurel.com,02/08/2018 06:04:00 AM +0000,Dades col·lecció|Col·lecció d'Art Contemporani,
28544,Fundació Vila Casas,Fundació Vila Casas,Cultura|Museus|Art|,," C. de Roc Boronat, 116-126",,,08018,Barcelona,Barcelonès,93 320 87 36,,,432704,4583805,2.194904289898014,41.40297155922925,canframis@fundaciovilacasas.com,http://www.fundaciovilacasas.com,02/08/2018 06:03:55 AM +0000,Dades col·lecció|Can Framis,
28545,Davis Museum,Davis Museum,Cultura|Museus|Art|,," C. de Puigmartí, 7, 1r 2a",,,08012,Barcelona,Barcelonès,93 285 66 22,689 75 36 00,,429694,4583665,2.158914057942621,41.40145304484572,info@davismuseum.com,http://www.davismuseum.com,02/08/2018 06:03:55 AM +0000,Dades col·lecció|The Davis Lisboa Mini-Museum of Contemporary Art in Barcelona,
28735,Museu de l'Eròtica de Barcelona-MEB,Museu de l'Eròtica de Barcelona-MEB,Cultura|Museus|Art|,," La Rambla, 96 bis",,,08002,Barcelona,Barcelonès,93 318 98 65,,,430821,4581511,2.172641273268068,41.38215040997693,administracion@erotica-museum.com,http://www.erotica-museum.com,02/08/2018 06:04:01 AM +0000,Dades col·lecció|MEB,
804512,FUNDACIÓ ANTONI TÀPIES,FUNDACIÓ ANTONI TÀPIES,Cultura|Museus|Art|,," C. d'Aragó, 255",,,08007,Barcelona,Barcelonès,934870315,,934870009,430085.7479207103,4582558.763325365,2.16372787025452,41.39152371315122,museu@ftapies.com,http://www.fundaciotapies.org,02/08/2018 06:13:50 AM +0000,"Adaptació a discapacitats|No|Biblioteca|Si|Cafeteria|No|Contingut|Ubicada a l'edifici modernista d'una editorial, aplega una àmplia mostra d'obres d'Antoni Tàpies, que abasta tota la seva trajectòria artística.|Dies tancament|Dilluns
1 i 6 de gener, 25 de desembre.|Horari|De l'1 de gener al 31 de desembre: de dimarts a diumenge de 10 a 19h.|Pagament entrada|Si|Servei de guia|No|Venda pública|Si",
804515,MUSEU PICASSO,MUSEU PICASSO,Cultura|Museus|Art|,," C. de Montcada, 15-23",,,08003,Barcelona,Barcelonès,932563000,,932563001,431514.3561590548,4581841.1981819095,2.180895452265576,41.385183729947784,museupicasso@bcn.cat,http://www.museupicasso.bcn.cat,02/08/2018 06:13:57 AM +0000,"Adaptació a discapacitats|Si|Biblioteca|Si|Cafeteria|Si|Contingut|Aplega una notable mostra d'obres de Pablo Picasso (1881-1973), especialment del període de joventut de l'artista.|Dies tancament|Dilluns d'octubre a maig (inclosos els festius), 1 de gener, 1 de maig, 24 de juny, 25 de desembre.|Horari|De l'1 de gener al 31 de desembre:  dimarts, dimecres, divendres, dissabtes, diumenges i festius: de 9h a 19h;  dijous de 9h a 21,30h.

Dilluns estiu 10 a 17 h

El 24 i 31 de desembre: de 9h a 14h.|Pagament entrada|Si|Servei de guia|No|Venda pública|Si",
804649,FUNDACIÓ JOAN MIRÓ,FUNDACIÓ JOAN MIRÓ,Cultura|Museus|Art|,," Parc de Montjuïc, s/n",,,08038,Barcelona,Barcelonès,934 439 470,,933 298 609,429785.4186381662,4579981.287526467,2.160434508364417,41.36828306737178,info@fmirobcn.org,http://www.fmirobcn.org,02/08/2018 06:13:57 AM +0000,"Adaptació a discapacitats|Si|Biblioteca|Si|Cafeteria|Si|Contingut|Ubicada en un edifici projectat per l'arquitecte Josep Lluís Sert (1902-1983), acull una extensa col·lecció d'obres de Joan Miró (1893-1983).|Dies tancament|Dilluns no festius
1 de gener, 25 i 26 de desembre.|Horari|De l'1 de novembre al 31 de març: dimarts, dimecres, divendres de 10 a 18h. Dijous de 10 a 21h. Dissabte de 10 a 20h. Diumenge i festius de 10 a 15h.
De l'1 d'abril al 31 d'octubre: dimarts, dimecres, divendres i dissabte de 10 a 20h. Dijous de 10 a|Pagament entrada|Si|Servei de guia|No|Venda pública|Si",
804529,MUSEU D'ART CONTEMPORANI DE BARCELONA,MUSEU D'ART CONTEMPORANI DE BARCELONA,Cultura|Museus|Art|,," Pl. dels Àngels, 1",,,08001,Barcelona,Barcelonès,934120810,,934124602,430424.214309683,4581611.562444844,2.167884775286224,41.38302192920122,comunicacio@macba.cat,http://www.macba.cat,02/08/2018 06:13:49 AM +0000,"Adaptació a discapacitats|No|Biblioteca|Si|Cafeteria|No|Contingut|Aplega els aspectes fonamentals de la creació artística occidental contemporània.|Dies tancament|Dimarts no festius.
1 de gener, 25 de desembre.|Horari|Del 25 de setembre al 24 de juny: dilluns, dimecres, dijous i divendres d'11 a 19.30h. Dissabte de 10 a 20h. Diumenge i festius de 10 a 15h.
Del 25 de juny al 24 de setembre: dilluns, dimecres, dijous i divendres d'11 a 20h.  Dissabte de 10 a 20h. D|Pagament entrada|Si|Servei de guia|No|Venda pública|Si",
804531,MUSEU D'ART CONTEMPORANI DE BARCELONA. CENTRE D'ESTUDIS I DOCUMENTACIÓ,MUSEU D'ART CONTEMPORANI DE BARCELONA. MUSEU D'ART CONTEMPORANI DE BARCELONA. CENTRE D'ESTUDIS I DOCUMENTACIÓ,Cultura|Museus|Art|,," Pl. dels Àngels, 8",,,08001,Barcelona,Barcelonès,934817905,,934124602,430409.3899560212,4581603.204091452,2.167708456285697,41.38294536598865,centredestudis@macba.cat,http://www.macba.cat,02/08/2018 06:13:49 AM +0000,"Adaptació a discapacitats|Si|Biblioteca|Si|Cafeteria|No|Dies tancament|Divendres, dissabte, diumenge i festius.|Horari|Biblioteca. De l'1 de gener al 31 de desembre: de dilluns a dijous de 10 a 19h. Festius tancat.

Arxiu. De l'1 de gener al 31 de desembre: de dilluns a dijous de 10 a 14.30h. Festius tancat. Visites concertades amb una antelació mínima de 48 hores.|Pagament entrada|No|Servei de guia|No|Venda pública|No",
28501,Fundació Suñol,Fundació Suñol,Cultura|Museus|Art|,," Pg. de Gràcia, 98",,,08008,Barcelona,Barcelonès,93 496 10 32,,,429879,4583010,2.16120288359465,41.395569847393304,info@fundaciosunol.org,http://www.fundaciosunol.org,02/08/2018 06:03:57 AM +0000,,
