IDEQUIPAMENT,ALIES,NOM,CATEGORIA,TIPUS_VIA,VIA,SUFIX_VIA,NUM,CPOSTAL,POBLACIO,COMARCA,TELEFON1,TELEFON2,FAX,UTMX,UTMY,LONGITUD,LATITUD,EMAIL,WEB,DATA_MODIFICACIO,PROPIETATS,LOCALITZACIO
28516,Museu Marés del Llibre,Museu Marés del Llibre,Cultura|Museus|Història|,," C. de l'Hospital, 56",,,08001,Barcelona,Barcelonès,93 270 23 00,,93 270 23 01,430588,4581365,2.169871671458941,41.38081536468203,bustia@bnc.cat,http://www.bnc.cat,02/08/2018 06:03:56 AM +0000,Dades col·lecció|Biblioteca de Catalunya,
28582,Col·lecció de Modelisme Naval,Col·lecció de Modelisme Naval,Cultura|Museus|Història|,," C. de l'Escar, 6-8. Consorci el Far",,,08039,Barcelona,Barcelonès,93 221 74 57,93 224 19 58,93 221 41 50,432247,4580963,2.18975538917414,41.37733606668257,sanmiguelra@consorcielfar.org,http://www.consorcielfar.org,02/08/2018 06:03:54 AM +0000,Dades col·lecció|Consorci el Far de Barcelona,
28608,Museu i Tresor de la Basílica de Santa Maria del Pi,Museu i Tresor de la Basílica de Santa Maria del Pi,Cultura|Museus|Història|,," Pl. del Pi, 7",,,08002,Barcelona,Barcelonès,93 318 47 43,,,431003,4581728,2.174793008486946,41.3841204928329,conserv@basilicadelpi.com,http://www.basilicadelpi.com,02/08/2018 06:03:52 AM +0000,Dades col·lecció|MiTPi,
28662,Museu de la Basílica de la Sagrada Família,Museu de la Basílica de la Sagrada Família,Cultura|Museus|Història|,," C. de Mallorca, 401",,,08013,Barcelona,Barcelonès,93 208 04 14,,93 476 10 10,431025,4583847,2.174814762112001,41.40320754578967,informa@sagradafamilia.org,http://www.sagradafamilia.cat,02/08/2018 06:04:06 AM +0000,,
28522,Memorial Sant Josep Manyanet,Memorial Sant Josep Manyanet,Cultura|Museus|Història|,," C. de Sant Sebastià, 55",,,08030,Barcelona,Barcelonès,93 311 33 05,93 439 43 05,93 274 15 57,432439,4586658,2.191415630431619,41.428645414711234,memorial@manyanet.org,http://www.manyanet.org,02/08/2018 06:03:56 AM +0000,,
28690,Col·lecció de Carrosses Fúnebres,Col·lecció de Carrosses Fúnebres,Cultura|Museus|Història|,," C. de la Mare de Déu de Port, 56-58",,,08038,Barcelona,Barcelonès,934841925,934841920,934841940,429443,4578321,2.156533698603601,41.353299422867,comunicacio@cbsa.cat,http://www.cbsa.cat/colleccio,02/08/2018 06:04:02 AM +0000,,
28442,Museu Africà Daniel Comboni,Museu Africà Daniel Comboni,Cultura|Museus|Història|,," C. de Feliu i Codina, 59",,,08031,Barcelona,Barcelonès,93 427 85 77,,93 427 88 41,430036,4587472,2.162564693293948,41.43577107451865,museuafrica@yahoo.es,,02/08/2018 06:03:59 AM +0000,,
28406,Tennis Museum,Tennis Museum,Cultura|Museus|Història|,," Pg. de la Vall d'Hebron, 196",,,08035,Barcelona,Barcelonès,93 428 53 53,,93 428 55 45,428603,4586819,2.145491324172117,41.429763667681335,fct@fctennis.cat,http://www.fctennis.cat,02/08/2018 06:04:00 AM +0000,,
28679,Museu de la Catedral de Barcelona,Museu de la Catedral de Barcelona,Cultura|Museus|Història|,, Pla de la Seu. Catedral de la Santa Creu,,,08002,Barcelona,Barcelonès,93 342 82 60,93 342 82 61,93 318 16 81,431121,4581742,2.17620256178319,41.38425669819944,secretaria@catedralbcn.org,http://www.catedralbcn.org,02/08/2018 06:04:05 AM +0000,,
28476,Teatre Museu el Rei de la Màgia,Teatre Museu el Rei de la Màgia,Cultura|Museus|Història|,," C. de les Jonqueres, 15",,,08003,Barcelona,Barcelonès,93 318 71 92,93 319 39 20,,430931,4582216,2.17387633601196,41.38850958157804,info@elreidelamagia.cat,http://www.elreidelamagia.cat,02/08/2018 06:03:58 AM +0000,,
