IDEQUIPAMENT,ALIES,NOM,CATEGORIA,TIPUS_VIA,VIA,SUFIX_VIA,NUM,CPOSTAL,POBLACIO,COMARCA,TELEFON1,TELEFON2,FAX,UTMX,UTMY,LONGITUD,LATITUD,EMAIL,WEB,DATA_MODIFICACIO,PROPIETATS,LOCALITZACIO
382185,Niu,Niu,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Almogàvers, 208",,,08018,Barcelona,Barcelonès,933568811,,,432825.472,4583651.336,2.196374434882545,41.4015977092782,info@niubcn.com,http://www.niubcn.com,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382186,Conservas,Conservas,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Sant Pau, 58 Baixos",,,08001,Barcelona,Barcelonès,933020630,,,4581833.842787614,430887.8187429098,2.1734035,41.3850639,info@conservas.tk,http://www.conservas.tk,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382187,Almazén,Almazén,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Guifré, 9 Baixos",,,08001,Barcelona,Barcelonès,934426215,,,4581833.842787614,430887.8187429098,2.1734035,41.3850639,almazen@almazen.net,http://www.almazen.net,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382189,Experimentem Amb l'Art,Experimentem Amb l'Art,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Torrijos, 68",,,08012,Barcelona,Barcelonès,932171877,,,429600.386,4584004.104,2.157754811351914,41.40449903816754,entra@experimentem.org,http://www.experimentem.org,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382191,la Riereta Teatre,la Riereta Teatre,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Reina Amalia, 3",,,08001,Barcelona,Barcelonès,934429844,,,430222.925,4581050.859,2.165542192381172,41.37795441737475,rieretateatre@gmail.com,http://www.lariereta.es,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382192,la Puntual,la Puntual,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Allada Vermella, 15",,,08003,Barcelona,Barcelonès,669214713,,,4581833.842787614,430887.8187429098,2.1734035,41.3850639,contact@lapuntual.info,http://www.lapuntual.info,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382193,Círcol Maldà,Círcol Maldà,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," C. del Pi, 5",,,08002,Barcelona,Barcelonès,933049999,,,430928.588,4581619.538,2.173915490735068,41.38313722293481,circolmalda@yahoo.es,http://www.circolmalda.org,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382194,Cafè Teatre Llantiol,Cafè Teatre Llantiol,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Riereta, 7",,,08001,Barcelona,Barcelonès,933299009,,,430383.31,4581147.474,2.167448930114962,41.37883849077198,info@llantiol.com,http://www.llantiol.com,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382195,Akademia,Akademia,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Buenos Aires, 47-49",,,08036,Barcelona,Barcelonès,934951447,,,428706.9544780084,4582699.873061258,2.1472207,41.3926736,info@teatreakademia.cat,http://www.teatreakademia.cat,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382196,Obrador Sala Beckett,Obrador Sala Beckett,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Alegre de Dalt, 55 Bis",,,08024,Barcelona,Barcelonès,932845312,,,4581833.842787614,430887.8187429098,2.1734035,41.3850639,info@salabeckett.cat,http://www.salabeckett.cat,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382197,la Poderosa,la Poderosa,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Riereta, 18 2on",,,08001,Barcelona,Barcelonès,934431980,,,4581833.842787614,430887.8187429098,2.1734035,41.3850639,info@lapoderosa.es,http://www.lapoderosa.es,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
